Date,Closing Price,Weather,News Rating
4/12/2023,402.23,Sunny,Positive
4/13/2023,407.57,Sunny,Positive
4/14/2023,406.57,Sunny,Negative
4/17/2023,408.03,Sunny,Positive
4/18/2023,408.3,Sunny,Positive
4/19/2023,408.23,Sunny,Positive
4/20/2023,406,Sunny,Positive
4/21/2023,406.32,Sunny,Positive
4/24/2023,406.74,Sunny,Positive
4/25/2023,400.28,Sunny,Positive
4/26/2023,398.59,Sunny,Positive
4/27/2023,406.52,Sunny,Negative
4/28/2023,409.99,Sunny,Positive
5/1/2023,409.58,Rainy,Positive
5/2/2023,404.98,Rainy,Positive
5/3/2023,402.2,Rainy,Positive
5/4/2023,399.35,Rainy,Negative
5/5/2023,406.74,Rainy,Negative
5/8/2023,406.85,Rainy,Negative
5/9/2023,405.06,Rainy,Negative
5/10/2023,406.96,Rainy,Positive
5/11/2023,406.25,Sunny,Positive
5/12/2023,405.71,Sunny,Negative
5/15/2023,407.11,Sunny,Positive
5/16/2023,404.39,Sunny,Positive
5/17/2023,409.3,Sunny,Positive
5/18/2023,413.25,Sunny,Positive
5/19/2023,412.64,Sunny,Negative
5/22/2023,412.81,Sunny,Positive
5/23/2023,408.18,Sunny,Positive
5/24/2023,405.22,Sunny,Positive
5/25/2023,408.73,Sunny,Negative
5/26/2023,414.02,Sunny,Positive
5/30/2023,414.18,Sunny,Positive
5/31/2023,411.89,Sunny,Negative
6/1/2023,415.8,Sunny,Positive
6/2/2023,421.81,Rainy,Positive
6/5/2023,421,Sunny,Positive
6/6/2023,421.92,Sunny,Positive
6/7/2023,420.46,Sunny,Negative
6/8/2023,423,Sunny,Positive
6/9/2023,423.76,Sunny,Positive
6/12/2023,427.61,Sunny,Positive
6/13/2023,430.43,Rainy,Negative
6/14/2023,430.94,Rainy,Positive
6/15/2023,436.28,Rainy,Positive
6/16/2023,434.8,Sunny,Positive
6/20/2023,432.54,Sunny,Negative
6/21/2023,430.32,Sunny,Negative
6/22/2023,431.88,Sunny,Negative
6/23/2023,428.61,Sunny,Positive
6/26/2023,426.86,Rainy,Negative
6/27/2023,431.54,Sunny,Positive
6/28/2023,431.76,Sunny,Negative
6/29/2023,433.46,Sunny,Positive
6/30/2023,438.58,Sunny,Positive
7/3/2023,439.08,Sunny,Positive
7/5/2023,438.43,Sunny,Positive
7/6/2023,434.99,Sunny,Positive
7/7/2023,433.9,Sunny,Positive
7/10/2023,434.99,Sunny,Positive
7/11/2023,437.76,Sunny,Negative
7/12/2023,441.29,Rainy,Negative
7/13/2023,444.79,Rainy,Positive
7/14/2023,444.51,Sunny,Positive
7/17/2023,446.06,Sunny,Positive
7/18/2023,449.37,Sunny,Positive
7/19/2023,450.37,Sunny,Positive
7/20/2023,447.38,Sunny,Negative
7/21/2023,447.38,Sunny,Positive
7/24/2023,449.38,Sunny,Negative
7/25/2023,450.61,Sunny,Positive
7/26/2023,450.68,Sunny,Positive
7/27/2023,447.69,Sunny,Negative
7/28/2023,452.07,Sunny,Positive
7/31/2023,452.93,Sunny,Positive
8/1/2023,451.64,Sunny,Negative
8/2/2023,445.35,Sunny,Positive
8/3/2023,444.08,Sunny,Negative
8/4/2023,442.07,Sunny,Negative
8/7/2023,445.93,Sunny,Negative
8/8/2023,443.99,Sunny,Negative
8/9/2023,441.02,Sunny,Negative
8/10/2023,441.18,Sunny,Negative
8/11/2023,440.92,Sunny,Negative
8/14/2023,443.35,Sunny,Positive
8/15/2023,438.19,Rainy,Positive
8/16/2023,434.97,Rainy,Negative
8/17/2023,431.66,Rainy,Negative
8/18/2023,431.87,Rainy,Negative
8/21/2023,434.68,Sunny,Positive
8/22/2023,433.5,Sunny,Negative
8/23/2023,438.33,Sunny,Positive
8/24/2023,432.25,Sunny,Negative
8/25/2023,435.3,Sunny,Positive
8/28/2023,438.06,Sunny,Positive
8/29/2023,444.39,Sunny,Negative
8/30/2023,446.22,Sunny,Positive
8/31/2023,445.57,Sunny,Negative
9/1/2023,446.4,Sunny,Positive
9/5/2023,444.47,Sunny,Negative
9/6/2023,441.48,Sunny,Negative
9/7/2023,440.13,Sunny,Negative
9/8/2023,440.79,Sunny,Positive
9/11/2023,443.69,Sunny,Positive
9/12/2023,441.26,Sunny,Negative
9/13/2023,441.77,Sunny,Positive
9/14/2023,445.58,Sunny,Positive
9/15/2023,440.21,Sunny,Negative
9/18/2023,440.47,Sunny,Negative
9/19/2023,439.56,Sunny,Negative
9/20/2023,435.52,Sunny,Negative
9/21/2023,428.32,Sunny,Negative
9/22/2023,427.35,Sunny,Negative
9/25/2023,429.15,Sunny,Positive
9/26/2023,422.85,Sunny,Negative
9/27/2023,423.02,Sunny,Negative
9/28/2023,425.47,Sunny,Positive
9/29/2023,424.44,Sunny,Negative
10/2/2023,424.27,Sunny,Negative
10/3/2023,418.59,Rainy,Negative
10/4/2023,421.64,Rainy,Positive
10/5/2023,421.48,Rainy,Positive
10/6/2023,426.48,Rainy,Positive
10/9/2023,429.21,Sunny,Positive
10/10/2023,431.44,Sunny,Positive
10/11/2023,433.21,Sunny,Positive
10/12/2023,430.57,Sunny,Negative
10/13/2023,428.43,Sunny,Negative
10/16/2023,432.93,Sunny,Positive
10/17/2023,432.91,Sunny,Positive
10/18/2023,427.15,Sunny,Negative
10/19/2023,423.39,Sunny,Negative
10/20/2023,418.19,Sunny,Negative
10/23/2023,417.47,Sunny,Negative
10/24/2023,420.61,Sunny,Positive
10/25/2023,414.58,Rainy,Negative
10/26/2023,409.61,Sunny,Negative
10/27/2023,407.75,Sunny,Negative
10/30/2023,412.63,Sunny,Negative
10/31/2023,415.22,Sunny,Positive
11/1/2023,419.65,Sunny,Positive
11/2/2023,427.69,Sunny,Positive
11/3/2023,431.59,Sunny,Positive
11/6/2023,432.59,Sunny,Positive
11/7/2023,433.82,Sunny,Positive
11/8/2023,434.14,Sunny,Positive
11/9/2023,430.75,Sunny,Negative
11/10/2023,437.47,Sunny,Positive
11/13/2023,437.05,Sunny,Negative
11/14/2023,445.53,Sunny,Positive
11/15/2023,446.48,Sunny,Positive
11/16/2023,447.02,Sunny,Positive
11/17/2023,447.58,Sunny,Positive
11/20/2023,451.02,Sunny,Positive
11/21/2023,450.04,Rainy,Negative
11/22/2023,451.78,Sunny,Positive
11/24/2023,452.06,Sunny,Positive
11/27/2023,451.24,Sunny,Positive
11/28/2023,451.69,Sunny,Positive
11/29/2023,451.37,Rainy,Positive
11/30/2023,453.15,Sunny,Positive
12/1/2023,455.83,Sunny,Positive
12/4/2023,453.44,Sunny,Positive
12/5/2023,453.35,Rainy,Negative
12/6/2023,451.52,Rainy,Negative
12/7/2023,454.97,Rainy,Negative
12/8/2023,456.92,Rainy,Negative
12/11/2023,458.7,Rainy,Positive
12/12/2023,460.79,Sunny,Positive
12/13/2023,467.15,Sunny,Positive
12/14/2023,468.65,Sunny,Positive
12/15/2023,467.88,Sunny,Positive
12/18/2023,470.51,Sunny,Positive
12/19/2023,473.37,Sunny,Positive
12/20/2023,466.81,Sunny,Negative
12/21/2023,471.24,Sunny,Positive
12/22/2023,472.18,Rainy,Positive
12/26/2023,474.18,Rainy,Positive
12/27/2023,475.03,Sunny,Positive
12/28/2023,475.21,Sunny,Positive
12/29/2023,473.84,Sunny,Negative
